,cultura,ref_infra_v,ref_rgb,data,mes,path,area,imagens_baixadas,imagens_processadas
10,aveia,dc70d8e1_v,dc70d8e1_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519539351-1_plantio_01-06-25_colheita_10-10-25.kml,0.0,"[['./imagens/dc70d8e1_v_d29/8e82a4a681befc4ddaa04c777facfb22/response.png', './imagens/dc70d8e1_v_d29/6e1b0abdd2b79c6dcf1b9a3562aee921/response.png'], ['./imagens/dc70d8e1_v_d44/36cd39acce1a840e63a4a6b6bdce03fb/response.png', './imagens/dc70d8e1_v_d44/838661a03adb349d584745a2cdf67bca/response.png']]","['./processadas/mascara_dc70d8e1_v_d29.png', './processadas/mascara_dc70d8e1_v_d44.png']"
11,aveia,accacf21_v,accacf21_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519961442-1_plantio_01-06-25_colheita_01-10-25.kml,0.0,"[['./imagens/accacf21_v_d29/30abcde088072a54ca1bf7ac7674d851/response.png', './imagens/accacf21_v_d29/1bf71b03ba564cb9ecdbda6e8d9929c8/response.png', './imagens/accacf21_v_d29/701bae0e43ade825a63fe63557f22c1a/response.png', './imagens/accacf21_v_d29/98fb9148cd5cf055afc020798228bfc8/response.png', './imagens/accacf21_v_d29/5cee96efb65b0a5923d63b470a6a071c/response.png'], ['./imagens/accacf21_v_d44/cd52f1db4afc89321d2f5449a456430e/response.png', './imagens/accacf21_v_d44/e1abfe7af2ab0de54ea6752ca670a7ae/response.png', './imagens/accacf21_v_d44/2fde5db121709448ba1d20f0ef9a18f6/response.png']]","['./processadas/mascara_accacf21_v_d29.png', './processadas/mascara_accacf21_v_d44.png']"
12,aveia,3683ea07_v,3683ea07_rgb,2025-05-30,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519483724-1_plantio_30-05-25_colheita_01-10-25.kml,0.0,"[['./imagens/3683ea07_v_d29/2540fa5d6a1a75ccd755c98c25bc36c9/response.png', './imagens/3683ea07_v_d29/8dfa3754328fb8afbc0fd8c4962f30b9/response.png'], ['./imagens/3683ea07_v_d44/5894391460cf0b46956a2b2ac279dac2/response.png', './imagens/3683ea07_v_d44/8be2dc2906f61754334d45f1d223b43f/response.png']]","['./processadas/mascara_3683ea07_v_d29.png', './processadas/mascara_3683ea07_v_d44.png']"
13,aveia,f18e3975_v,f18e3975_rgb,2025-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519967797-1_plantio_15-06-25_colheita_15-10-25.kml,0.0,"[['./imagens/f18e3975_v_d29/beda307ebafca8aed9ddf780f9c5f80f/response.png'], ['./imagens/f18e3975_v_d44/604581f45f65b3908a37ca4cfc3c04c6/response.png', './imagens/f18e3975_v_d44/4db2a73a84c58f098cd80b356e6261af/response.png']]","['./processadas/mascara_f18e3975_v_d29.png', './processadas/mascara_f18e3975_v_d44.png']"
14,aveia,ee63e693_v,ee63e693_rgb,2025-06-30,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519892631-1_plantio_30-06-25_colheita_30-10-25.kml,0.0,"[['./imagens/ee63e693_v_d29/65d073ce7be3857500a4c7ab4084588b/response.png'], ['./imagens/ee63e693_v_d44/ad9fc8a37e3ae5d4ab35d2ebfe360849/response.png']]","['./processadas/mascara_ee63e693_v_d29.png', './processadas/mascara_ee63e693_v_d44.png']"
15,aveia,56cf9145_v,56cf9145_rgb,2025-06-11,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520019039-1_plantio_11-06-25_colheita_29-10-25.kml,0.0,"[['./imagens/56cf9145_v_d29/1662e20eabe2bfbdcac2e05277e9201c/response.png', './imagens/56cf9145_v_d29/cff046912185bc8ed1cea7eebe056539/response.png', './imagens/56cf9145_v_d29/b4c9ba71627d93881a8ca77a8d39bd10/response.png'], ['./imagens/56cf9145_v_d44/6e04247f29d7e0fd664ed4a85e422e14/response.png', './imagens/56cf9145_v_d44/60bd67072f534aedb262220744b84726/response.png']]","['./processadas/mascara_56cf9145_v_d29.png', './processadas/mascara_56cf9145_v_d44.png']"
16,aveia,cc580331_v,cc580331_rgb,2024-06-21,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517559653-1_plantio_21-06-24_colheita_15-10-24.kml,0.0,"[['./imagens/cc580331_v_d29/a42e3134cc18d5e446c67375e8c26e00/response.png', './imagens/cc580331_v_d29/1cabb3f511a6f994c7186d0a7a224979/response.png'], ['./imagens/cc580331_v_d44/6f8000210b31c2067bd99e2a6239c75b/response.png'], ['./imagens/cc580331_v_d64/203436378d129aa2eb66a9d92593810c/response.png']]","['./processadas/mascara_cc580331_v_d29.png', './processadas/mascara_cc580331_v_d44.png', './processadas/mascara_cc580331_v_d64.png']"
17,aveia,462572c1_v,462572c1_rgb,2024-07-18,7,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518249591-1_plantio_18-07-24_colheita_05-12-24.kml,0.0,"[['./imagens/462572c1_v_d29/fd4e96f7ccb0c8950cf443ad07c8715d/response.png'], ['./imagens/462572c1_v_d44/880fb1d530060996cfaf3033f65ad82e/response.png'], ['./imagens/462572c1_v_d64/9b1a249013e5a4b74db228079d6e8735/response.png']]","['./processadas/mascara_462572c1_v_d29.png', './processadas/mascara_462572c1_v_d44.png', './processadas/mascara_462572c1_v_d64.png']"
18,aveia,d9fbd525_v,d9fbd525_rgb,2024-05-11,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517459135-1_plantio_11-05-24_colheita_02-10-24.kml,0.0,"[['./imagens/d9fbd525_v_d29/e400d8faa28cafeb8506004497ca7f8f/response.png'], ['./imagens/d9fbd525_v_d44/e137917e2006f8f2ca9daa75acfcf3c5/response.png'], ['./imagens/d9fbd525_v_d64/733567bac49b75aee37500ff899d0ac1/response.png']]","['./processadas/mascara_d9fbd525_v_d29.png', './processadas/mascara_d9fbd525_v_d44.png', './processadas/mascara_d9fbd525_v_d64.png']"
19,aveia,2d231a8c_v,2d231a8c_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519378672-1_plantio_01-06-25_colheita_01-10-25.kml,0.0,"[['./imagens/2d231a8c_v_d29/821b4b8184d909afeb1ee2a2aceb6ffb/response.png', './imagens/2d231a8c_v_d29/374860dda1237a9e869872d4321328ad/response.png', './imagens/2d231a8c_v_d29/afd27b5db64921355616e9935e8981ac/response.png', './imagens/2d231a8c_v_d29/0f34e3b790d1754e4d1ba6a3053ff34c/response.png', './imagens/2d231a8c_v_d29/e89fa448975126b476fbbcb73206055b/response.png'], ['./imagens/2d231a8c_v_d44/78f631ccfe26ad22abf272b0337f9bfc/response.png', './imagens/2d231a8c_v_d44/4df1a419b3652d73191c573371a71496/response.png', './imagens/2d231a8c_v_d44/9a871bc8da23837e3ec84eb42ffbc1a6/response.png']]","['./processadas/mascara_2d231a8c_v_d29.png', './processadas/mascara_2d231a8c_v_d44.png']"
20,aveia,ecc71853_v,ecc71853_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519883709-1_plantio_01-06-25_colheita_30-09-25.kml,0.0,"[['./imagens/ecc71853_v_d29/a6081f2d317ae27a7b7348d3de25d34a/response.png', './imagens/ecc71853_v_d29/199357b9fc59ef9e3b4e86eda419af26/response.png', './imagens/ecc71853_v_d29/2d7a58d11c6b190ef17c241fd597362c/response.png', './imagens/ecc71853_v_d29/169cc08fb9713941550b09a3e3ef92d6/response.png', './imagens/ecc71853_v_d29/47fa419b8ed7d43d8454a9e47ac4c128/response.png'], ['./imagens/ecc71853_v_d44/afd7fbc0e91c0ee463db6fbdee8b0732/response.png', './imagens/ecc71853_v_d44/577b4881f01392eec224b5d0ee81fd06/response.png', './imagens/ecc71853_v_d44/53373c68c6a35504e802ef7e81e7a688/response.png']]","['./processadas/mascara_ecc71853_v_d29.png', './processadas/mascara_ecc71853_v_d44.png']"
21,aveia,d1d43a75_v,d1d43a75_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517974146-1_plantio_21-05-24_colheita_01-09-24.kml,0.0,"[['./imagens/d1d43a75_v_d29/871a6864c2d4c65665d6434383f77415/response.png', './imagens/d1d43a75_v_d29/d6b17b8f194178eba5e2adf1e102af59/response.png'], ['./imagens/d1d43a75_v_d44/f0b4abdd83d5de29c2735a56e935f92b/response.png', './imagens/d1d43a75_v_d44/d2cd71e002b37cf75ab777665353e843/response.png'], ['./imagens/d1d43a75_v_d64/b619dafda726a43910ea7f398efe1572/response.png', './imagens/d1d43a75_v_d64/c1275bf8eb50b4723b9a8cde2718cd1c/response.png']]","['./processadas/mascara_d1d43a75_v_d29.png', './processadas/mascara_d1d43a75_v_d44.png', './processadas/mascara_d1d43a75_v_d64.png']"
22,aveia,f5937c79_v,f5937c79_rgb,2025-04-21,4,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519297551-1_plantio_21-04-25_colheita_01-10-25.kml,0.0,"[['./imagens/f5937c79_v_d29/1ac0d8f4d352aefedd31c1d659fe95bb/response.png', './imagens/f5937c79_v_d29/1c64e17cc888916c67ee16a1afb4c8af/response.png', './imagens/f5937c79_v_d29/5a83512a49d76baad446c99a435a7b51/response.png'], ['./imagens/f5937c79_v_d44/e01070d38658b5e77bbab134bb700ecf/response.png', './imagens/f5937c79_v_d44/b8ec53b5cb51c855aa2b20a8444f6aca/response.png'], ['./imagens/f5937c79_v_d64/e213404cbc7b03a5895b600c9604a9b8/response.png', './imagens/f5937c79_v_d64/59a8d88846185addcdbe0ae631efcd3b/response.png', './imagens/f5937c79_v_d64/dfb546c9d4c1288ba5d64fdf1edb2e67/response.png', './imagens/f5937c79_v_d64/fc3c6c0b096d0dbcf03740a7fbe807de/response.png']]","['./processadas/mascara_f5937c79_v_d29.png', './processadas/mascara_f5937c79_v_d44.png', './processadas/mascara_f5937c79_v_d64.png']"
23,aveia,beb63abb_v,beb63abb_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517587528-1_plantio_21-05-24_colheita_10-10-24.kml,0.0,"[['./imagens/beb63abb_v_d29/449669a00ba6e5fa4d34073d66b55f3f/response.png'], ['./imagens/beb63abb_v_d44/6f6f516446d53306d1c48823ecc07dc6/response.png'], ['./imagens/beb63abb_v_d64/653cd5db79fd9280099f36df5d19f54e/response.png']]","['./processadas/mascara_beb63abb_v_d29.png', './processadas/mascara_beb63abb_v_d44.png', './processadas/mascara_beb63abb_v_d64.png']"
24,aveia,5e280060_v,5e280060_rgb,2025-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519730134-1_plantio_10-06-25_colheita_08-09-25.kml,0.0,"[['./imagens/5e280060_v_d29/22c02aaab3ccbbf34a41121ff112b441/response.png', './imagens/5e280060_v_d29/34b43ba3dad82526d62dcdb51e76d547/response.png'], ['./imagens/5e280060_v_d44/4be4cae082a6f0b6b708e66b8e07246c/response.png', './imagens/5e280060_v_d44/bfbda863fd56c794c3e69683ecbf441d/response.png', './imagens/5e280060_v_d44/94e353e062c7e61e799bd67d6df2f44b/response.png', './imagens/5e280060_v_d44/ac374d90afe0b3854032fc9e957a68a2/response.png']]","['./processadas/mascara_5e280060_v_d29.png', './processadas/mascara_5e280060_v_d44.png']"
25,aveia,609932f6_v,609932f6_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519671444-1_plantio_21-05-25_colheita_04-10-25.kml,0.0,"[['./imagens/609932f6_v_d29/da28e6663a5a7ada2dd45333a272ba97/response.png', './imagens/609932f6_v_d29/e3e6140dbf28c1272157558b6a285778/response.png'], ['./imagens/609932f6_v_d44/059bd94a8f9310a62e9fba13737d1e15/response.png', './imagens/609932f6_v_d44/22a7177eee2f31294cf328678e016a8c/response.png', './imagens/609932f6_v_d44/39f022b62ff65d2ca2c96d20209126f9/response.png', './imagens/609932f6_v_d44/01e0beaf9536313b1181a424e71afccc/response.png'], ['./imagens/609932f6_v_d64/31bf3f1baef0ede39292d4484bee1352/response.png', './imagens/609932f6_v_d64/b205494ec9fb22fc52d3e24200144848/response.png']]","['./processadas/mascara_609932f6_v_d29.png', './processadas/mascara_609932f6_v_d44.png', './processadas/mascara_609932f6_v_d64.png']"
26,aveia,79a369e6_v,79a369e6_rgb,2024-06-30,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518022948-1_plantio_30-06-24_colheita_01-11-24.kml,0.0,"[['./imagens/79a369e6_v_d29/9416e1f3f0d838733f9336daa4dc901a/response.png'], ['./imagens/79a369e6_v_d44/7b1f1c6c9c76182d8d3c29162d7a6a9b/response.png'], ['./imagens/79a369e6_v_d64/f4a7306a336390d95e935f786ea191cb/response.png']]","['./processadas/mascara_79a369e6_v_d29.png', './processadas/mascara_79a369e6_v_d44.png', './processadas/mascara_79a369e6_v_d64.png']"
27,aveia,282be738_v,282be738_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517563841-1_plantio_01-06-24_colheita_01-10-24.kml,0.0,"[['./imagens/282be738_v_d29/5f6944a1bfffd6b0384b9e06fcccc40e/response.png', './imagens/282be738_v_d29/55934b1c6fbf6de0278021ca4a485052/response.png'], ['./imagens/282be738_v_d44/8d5eb305f7bb9830e31957243c51a700/response.png'], ['./imagens/282be738_v_d64/3e3fe3038ee78419572affd95a24d68b/response.png']]","['./processadas/mascara_282be738_v_d29.png', './processadas/mascara_282be738_v_d44.png', './processadas/mascara_282be738_v_d64.png']"
28,aveia,a6e1ac25_v,a6e1ac25_rgb,2025-06-21,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519805096-1_plantio_21-06-25_colheita_25-10-25.kml,0.0,"[['./imagens/a6e1ac25_v_d29/9adaf3b95b0ffdd4f6ee33992b61065c/response.png'], ['./imagens/a6e1ac25_v_d44/bf19981585cf33f0b666df1d92414ab9/response.png', './imagens/a6e1ac25_v_d44/7ffc49e632f9186780e57f9c0e65c1e5/response.png']]","['./processadas/mascara_a6e1ac25_v_d29.png', './processadas/mascara_a6e1ac25_v_d44.png']"
29,aveia,61b07479_v,61b07479_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519517563-1_plantio_01-06-25_colheita_08-10-25.kml,0.0,"[['./imagens/61b07479_v_d29/daab0c591c73692047eda061c811c95a/response.png', './imagens/61b07479_v_d29/094dba77e0d17c7d281647962fbe64db/response.png', './imagens/61b07479_v_d29/0a9de397633bf78b5ca96094eff1814d/response.png'], ['./imagens/61b07479_v_d44/d68a997298afb30d90a611e308693aeb/response.png']]","['./processadas/mascara_61b07479_v_d29.png', './processadas/mascara_61b07479_v_d44.png']"
30,aveia,9aef2b6f_v,9aef2b6f_rgb,2025-04-25,4,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519341090-1_plantio_25-04-25_colheita_05-09-25.kml,0.0,"[['./imagens/9aef2b6f_v_d29/2495d145fe89de54685adfb779795b20/response.png'], ['./imagens/9aef2b6f_v_d44/27c261462887b66de388cc6343735306/response.png'], ['./imagens/9aef2b6f_v_d64/77852f379fa942490bcf531c3d053422/response.png']]","['./processadas/mascara_9aef2b6f_v_d29.png', './processadas/mascara_9aef2b6f_v_d44.png', './processadas/mascara_9aef2b6f_v_d64.png']"
31,aveia,b8481318_v,b8481318_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517721024-1_plantio_10-06-24_colheita_31-10-24.kml,0.0,"[['./imagens/b8481318_v_d29/09062a1a12ed925339f1c9b3fe30e174/response.png'], ['./imagens/b8481318_v_d44/ed58a6ef7e688d60f37760e8c42b3387/response.png'], ['./imagens/b8481318_v_d64/8f4c7c6f8e4a9416f0a2e4eb5077f77e/response.png']]","['./processadas/mascara_b8481318_v_d29.png', './processadas/mascara_b8481318_v_d44.png', './processadas/mascara_b8481318_v_d64.png']"
32,aveia,1ae01351_v,1ae01351_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519819842-1_plantio_01-06-25_colheita_15-10-25.kml,0.0,"[['./imagens/1ae01351_v_d29/6e1a9a03277aba2258884547def17617/response.png', './imagens/1ae01351_v_d29/c837c6e69c103afe4bc3311de8f81255/response.png', './imagens/1ae01351_v_d29/1b9a61b2ee608faaefdac58ba7e91fa2/response.png', './imagens/1ae01351_v_d29/5b541e21402cb6a290d9a041467d2a8d/response.png', './imagens/1ae01351_v_d29/842e4d3c347f4705d3945885b5b383b5/response.png', './imagens/1ae01351_v_d29/bcb1219c5a532de88eff3a50c7445fa6/response.png'], ['./imagens/1ae01351_v_d44/e1e0413c9ec12bedbdd5a13add474703/response.png', './imagens/1ae01351_v_d44/4af2e6098174fb030e9027b2ed46fa09/response.png']]","['./processadas/mascara_1ae01351_v_d29.png', './processadas/mascara_1ae01351_v_d44.png']"
33,aveia,1b2013c8_v,1b2013c8_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519782151-1_plantio_21-05-25_colheita_15-10-25.kml,0.0,"[['./imagens/1b2013c8_v_d29/d8a9bf3cbe53a257beaea5562a257888/response.png', './imagens/1b2013c8_v_d29/f9643272e11104b1a058df5ce0f966d3/response.png'], ['./imagens/1b2013c8_v_d44/0a565c53f007d16ba510e6a1f595cb2a/response.png', './imagens/1b2013c8_v_d44/bdb26805f1b21ac9bd7e44aadaa63aca/response.png', './imagens/1b2013c8_v_d44/7f10768207212758e62a9bfc142a7621/response.png', './imagens/1b2013c8_v_d44/0d7a9d674511cdc13d2e3743b422795e/response.png'], ['./imagens/1b2013c8_v_d64/aeeace2dcabac5ea6dbe11229c4e79fd/response.png', './imagens/1b2013c8_v_d64/33b68a0afd8da8c2cd464e6124eaca2d/response.png']]","['./processadas/mascara_1b2013c8_v_d29.png', './processadas/mascara_1b2013c8_v_d44.png', './processadas/mascara_1b2013c8_v_d64.png']"
34,aveia,4e683c32_v,4e683c32_rgb,2025-06-12,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519514683-1_plantio_12-06-25_colheita_16-10-25.kml,0.0,"[['./imagens/4e683c32_v_d29/4e0e018d6f0d944d11642220d0f174c8/response.png'], ['./imagens/4e683c32_v_d44/53d58c30ce4bc1d946964b6dc60b9473/response.png', './imagens/4e683c32_v_d44/a1ca8716926edc15d4335c6469560d1f/response.png']]","['./processadas/mascara_4e683c32_v_d29.png', './processadas/mascara_4e683c32_v_d44.png']"
35,aveia,a6b0751c_v,a6b0751c_rgb,2024-05-22,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517968582-1_plantio_22-05-24_colheita_25-09-24.kml,0.0,"[['./imagens/a6b0751c_v_d29/df72001ac465ffd911090042c21c5c5d/response.png', './imagens/a6b0751c_v_d29/dac614118dcea60987124ddad9b7d21a/response.png'], ['./imagens/a6b0751c_v_d64/76d1e8ccb6c032636fc51c712f4bc706/response.png', './imagens/a6b0751c_v_d64/cbfc06375e721961cb4826b5b448aae8/response.png', './imagens/a6b0751c_v_d64/8b2d8d66bb2691ac64641e2f9f4ccb55/response.png', './imagens/a6b0751c_v_d64/e0148aefaf9d7224ac3295460239e627/response.png']]","['./processadas/mascara_a6b0751c_v_d29.png', './processadas/mascara_a6b0751c_v_d64.png']"
