cultura,ref_infra_v,ref_rgb,data,mes,path
aveia,83c0c575_v,83c0c575_rgb,2024-05-15,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517697170-1_plantio_15-05-24_colheita_11-11-24.kml
aveia,312ce6d6_v,312ce6d6_rgb,2024-05-25,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517678016-1_plantio_25-05-24_colheita_05-10-24.kml
aveia,21bea9ff_v,21bea9ff_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519640475-1_plantio_01-06-25_colheita_19-10-25.kml
aveia,9b1e354b_v,9b1e354b_rgb,2025-07-15,7,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520256323-1_plantio_15-07-25_colheita_16-10-25.kml
aveia,1a7f0e92_v,1a7f0e92_rgb,2025-06-25,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520093893-1_plantio_25-06-25_colheita_23-10-25.kml
aveia,679a6566_v,679a6566_rgb,2025-06-05,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519760872-1_plantio_05-06-25_colheita_31-10-25.kml
aveia,d95a045d_v,d95a045d_rgb,2024-07-29,7,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518382561-1_plantio_29-07-24_colheita_10-12-24.kml
aveia,713c8617_v,713c8617_rgb,2025-06-17,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520116690-1_plantio_17-06-25_colheita_28-10-25.kml
aveia,d392e4da_v,d392e4da_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518038276-1_plantio_01-06-24_colheita_01-10-24.kml
aveia,184dce32_v,184dce32_rgb,2025-04-14,4,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519953629-1_plantio_14-04-25_colheita_01-08-25.kml
aveia,35665dba_v,35665dba_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518022345-1_plantio_10-06-24_colheita_10-10-24.kml
aveia,23cd3643_v,23cd3643_rgb,2025-06-20,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519570256-1_plantio_20-06-25_colheita_07-11-25.kml
aveia,64e62cb4_v,64e62cb4_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517465866-1_plantio_01-06-24_colheita_20-10-24.kml
aveia,e7a2660e_v,e7a2660e_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517459415-1_plantio_10-06-24_colheita_20-10-24.kml
aveia,adc4e64f_v,adc4e64f_rgb,2024-05-22,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517678768-1_plantio_22-05-24_colheita_28-09-24.kml
aveia,c54cdce2_v,c54cdce2_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519921431-1_plantio_21-05-25_colheita_25-10-25.kml
aveia,7fa2a65d_v,7fa2a65d_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519869485-1_plantio_01-06-25_colheita_01-11-25.kml
aveia,122f9373_v,122f9373_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517338349-2_plantio_21-05-24_colheita_01-09-24.kml
aveia,c824708a_v,c824708a_rgb,2025-06-16,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520062135-1_plantio_16-06-25_colheita_14-10-25.kml
aveia,96e274f9_v,96e274f9_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517359159-1_plantio_10-06-24_colheita_13-10-24.kml
aveia,5846744e_v,5846744e_rgb,2024-05-15,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517543291-1_plantio_15-05-24_colheita_01-10-24.kml
aveia,62f8f943_v,62f8f943_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517951357-1_plantio_01-06-24_colheita_20-10-24.kml
aveia,44b27125_v,44b27125_rgb,2025-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520195034-1_plantio_10-06-25_colheita_10-10-25.kml
aveia,73e39628_v,73e39628_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519961173-1_plantio_01-06-25_colheita_01-10-25.kml
aveia,5c591094_v,5c591094_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518000192-1_plantio_01-06-24_colheita_25-10-24.kml
aveia,22adc577_v,22adc577_rgb,2025-06-20,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519752908-1_plantio_20-06-25_colheita_01-12-25.kml
aveia,64a872dc_v,64a872dc_rgb,2025-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520038632-1_plantio_15-06-25_colheita_02-11-25.kml
aveia,44ddb85c_v,44ddb85c_rgb,2024-06-03,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517829859-1_plantio_03-06-24_colheita_15-10-24.kml
aveia,0effdbfb_v,0effdbfb_rgb,2024-06-20,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518201763-1_plantio_20-06-24_colheita_10-10-24.kml
aveia,f95b9d58_v,f95b9d58_rgb,2024-05-28,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517379643-1_plantio_28-05-24_colheita_15-10-24.kml
aveia,9087b134_v,9087b134_rgb,2025-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519695630-1_plantio_10-06-25_colheita_25-10-25.kml
aveia,9f846333_v,9f846333_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518022224-1_plantio_01-06-24_colheita_20-09-24.kml
aveia,984a28ce_v,984a28ce_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518001030-1_plantio_01-06-24_colheita_01-10-24.kml
aveia,d9f372bb_v,d9f372bb_rgb,2025-05-30,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519441963-1_plantio_30-05-25_colheita_20-09-25.kml
aveia,4e9b9bf4_v,4e9b9bf4_rgb,2025-06-20,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519589743-1_plantio_20-06-25_colheita_23-10-25.kml
aveia,681b05a1_v,681b05a1_rgb,2024-06-05,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517278419-1_plantio_05-06-24_colheita_13-09-24.kml
aveia,48d33713_v,48d33713_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517537529-1_plantio_10-06-24_colheita_28-10-24.kml
aveia,d4ec55a5_v,d4ec55a5_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517538393-1_plantio_10-06-24_colheita_20-10-24.kml
aveia,cffbb359_v,cffbb359_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519414531-1_plantio_21-05-25_colheita_20-10-25.kml
aveia,be4a9fa2_v,be4a9fa2_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519786824-1_plantio_21-05-25_colheita_18-09-25.kml
aveia,d47e256b_v,d47e256b_rgb,2024-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517679726-1_plantio_15-06-24_colheita_01-10-24.kml
aveia,cbf04213_v,cbf04213_rgb,2025-06-02,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520165213-1_plantio_02-06-25_colheita_25-10-25.kml
aveia,8999ab41_v,8999ab41_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517864699-1_plantio_01-06-24_colheita_01-09-24.kml
aveia,337ca580_v,337ca580_rgb,2024-06-20,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518116523-1_plantio_20-06-24_colheita_20-09-24.kml
aveia,ce55a71a_v,ce55a71a_rgb,2025-05-25,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519790499-1_plantio_25-05-25_colheita_31-10-25.kml
aveia,899722e2_v,899722e2_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517689873-1_plantio_01-06-24_colheita_10-10-24.kml
aveia,6a293212_v,6a293212_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517699008-1_plantio_01-06-24_colheita_25-10-24.kml
aveia,de3ed1b0_v,de3ed1b0_rgb,2025-04-15,4,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519711810-1_plantio_15-04-25_colheita_01-09-25.kml
aveia,46a60434_v,46a60434_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519667097-1_plantio_21-05-25_colheita_01-10-25.kml
aveia,a9bad86d_v,a9bad86d_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517509418-1_plantio_21-05-24_colheita_01-10-24.kml
aveia,41f066b1_v,41f066b1_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519451001-1_plantio_01-06-25_colheita_20-09-25.kml
aveia,c7149788_v,c7149788_rgb,2025-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519539215-1_plantio_15-06-25_colheita_02-11-25.kml
aveia,c2bfdb3f_v,c2bfdb3f_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517757707-1_plantio_01-06-24_colheita_01-11-24.kml
aveia,d7e877f8_v,d7e877f8_rgb,2024-06-05,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517535350-1_plantio_05-06-24_colheita_10-10-24.kml
aveia,13c68ac6_v,13c68ac6_rgb,2025-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519484905-1_plantio_15-06-25_colheita_01-11-25.kml
aveia,f64113cd_v,f64113cd_rgb,2025-06-21,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520127013-1_plantio_21-06-25_colheita_08-11-25.kml
aveia,9bcc811d_v,9bcc811d_rgb,2025-05-30,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519911389-1_plantio_30-05-25_colheita_20-08-25.kml
aveia,de85979e_v,de85979e_rgb,2024-06-05,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518001965-1_plantio_05-06-24_colheita_08-10-24.kml
aveia,b8dc4cbb_v,b8dc4cbb_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519789928-1_plantio_21-05-25_colheita_30-10-25.kml
aveia,966e8d79_v,966e8d79_rgb,2024-06-05,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517426168-1_plantio_05-06-24_colheita_20-10-24.kml
aveia,3bdd8a25_v,3bdd8a25_rgb,2024-05-30,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517879157-1_plantio_30-05-24_colheita_01-11-24.kml
aveia,350e73cc_v,350e73cc_rgb,2025-06-20,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519790625-1_plantio_20-06-25_colheita_25-09-25.kml
aveia,9089b8bd_v,9089b8bd_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520015699-1_plantio_21-05-25_colheita_18-09-25.kml
aveia,dda7ba61_v,dda7ba61_rgb,2025-06-21,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519653547-1_plantio_21-06-25_colheita_19-09-25.kml
aveia,01c7c756_v,01c7c756_rgb,2025-06-21,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519787551-1_plantio_21-06-25_colheita_15-10-25.kml
aveia,e9c8e15d_v,e9c8e15d_rgb,2024-05-25,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517873700-2_plantio_25-05-24_colheita_15-10-24.kml
aveia,cc0ab2a1_v,cc0ab2a1_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519801012-1_plantio_01-06-25_colheita_01-11-25.kml
aveia,63edee97_v,63edee97_rgb,2024-06-14,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518127642-1_plantio_14-06-24_colheita_01-10-24.kml
aveia,fa3941a7_v,fa3941a7_rgb,2024-05-30,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517468271-1_plantio_30-05-24_colheita_30-09-24.kml
aveia,359bbb14_v,359bbb14_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517471331-1_plantio_01-06-24_colheita_01-11-24.kml
aveia,b2b6e908_v,b2b6e908_rgb,2024-04-25,4,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517735578-1_plantio_25-04-24_colheita_20-08-24.kml
aveia,f93e27ab_v,f93e27ab_rgb,2025-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519384290-1_plantio_15-06-25_colheita_15-10-25.kml
aveia,7ca34ce3_v,7ca34ce3_rgb,2024-04-22,4,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517612255-1_plantio_22-04-24_colheita_20-08-24.kml
aveia,e72b13dc_v,e72b13dc_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517360054-1_plantio_01-06-24_colheita_10-10-24.kml
aveia,30ddd610_v,30ddd610_rgb,2024-06-05,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517972614-1_plantio_05-06-24_colheita_28-10-24.kml
aveia,cfa29ccc_v,cfa29ccc_rgb,2024-06-11,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517496741-1_plantio_11-06-24_colheita_01-10-24.kml
aveia,f619b89b_v,f619b89b_rgb,2025-07-01,7,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519794266-1_plantio_01-07-25_colheita_01-11-25.kml
aveia,c1f98bb2_v,c1f98bb2_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517772931-1_plantio_21-05-24_colheita_30-09-24.kml
aveia,e1777a06_v,e1777a06_rgb,2024-05-11,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517452023-1_plantio_11-05-24_colheita_01-10-24.kml
aveia,521ce80b_v,521ce80b_rgb,2025-06-21,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519926300-1_plantio_21-06-25_colheita_10-10-25.kml
aveia,75b25e84_v,75b25e84_rgb,2024-05-25,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517786759-1_plantio_25-05-24_colheita_15-09-24.kml
aveia,cce3b103_v,cce3b103_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519906893-1_plantio_21-05-25_colheita_10-09-25.kml
aveia,420f4562_v,420f4562_rgb,2024-06-20,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517689644-1_plantio_20-06-24_colheita_10-11-24.kml
aveia,215b2d12_v,215b2d12_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517794003-1_plantio_01-06-24_colheita_01-11-24.kml
aveia,508e4719_v,508e4719_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517602956-1_plantio_01-06-24_colheita_15-10-24.kml
aveia,f3b06af2_v,f3b06af2_rgb,2024-05-15,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517682572-1_plantio_15-05-24_colheita_01-09-24.kml
aveia,1fe4ddae_v,1fe4ddae_rgb,2025-05-15,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519831191-1_plantio_15-05-25_colheita_10-10-25.kml
