kml,data,true,argmax,max_prob,decisao,confiante,acerto,confianca_pct,prob_true,tempo_seg
FEIJÃO_517409984-1_plantio_05-02-24_colheita_01-05-24.kml,2024-02-05,FEIJÃO,FEIJÃO,55.7,FEIJÃO,True,True,55.7,55.7,10.1
FEIJÃO_519370768-1_plantio_21-02-25_colheita_01-06-25.kml,2025-02-21,FEIJÃO,FEIJÃO,58.6,FEIJÃO,True,True,58.6,58.6,10.1
SOJA_517864529-1_plantio_18-09-24_colheita_16-01-25.kml,2024-09-18,SOJA,FEIJÃO,85.0,FEIJÃO,True,False,85.0,6.0,10.1
MILHO_520038846-1_plantio_27-09-25_colheita_15-01-26.kml,2025-09-27,MILHO,SOJA,61.5,SOJA,True,False,61.5,19.3,10.1
MILHO_518403001-1_plantio_02-08-24_colheita_02-01-25.kml,2024-08-02,MILHO,MILHO,77.7,MILHO,True,True,77.7,77.7,10.1
FEIJÃO_520293518-1_plantio_15-12-25_colheita_01-02-26.kml,2025-12-15,FEIJÃO,SOJA,50.8,SOJA,True,False,50.8,13.1,10.1
FEIJÃO_519058891-1_plantio_25-02-25_colheita_21-05-25.kml,2025-02-25,FEIJÃO,FEIJÃO,57.2,FEIJÃO,True,True,57.2,57.2,10.1
AVEIA_517703021-1_plantio_21-05-24_colheita_29-08-24.kml,2024-05-21,AVEIA,AVEIA,80.1,AVEIA,True,True,80.1,80.1,10.1
TRIGO_519843114-1_plantio_21-04-25_colheita_15-09-25.kml,2025-04-21,TRIGO,TRIGO,76.7,TRIGO,True,True,76.7,76.7,10.1
SOJA_518546841-1_plantio_15-11-24_colheita_15-04-25.kml,2024-11-15,SOJA,SOJA,70.8,SOJA,True,True,70.8,70.8,10.1
SOJA_520207240-1_plantio_25-10-25_colheita_05-02-26.kml,2025-10-25,SOJA,SOJA,64.4,SOJA,True,True,64.4,64.4,10.0
MILHO_518580325-1_plantio_01-10-24_colheita_20-02-25.kml,2024-10-01,MILHO,SOJA,33.9,SOJA,True,False,33.9,31.3,10.1
SOJA_520137456-1_plantio_01-11-25_colheita_01-03-26.kml,2025-11-01,SOJA,SOJA,87.6,SOJA,True,True,87.6,87.6,10.1
FEIJÃO_518496257-1_plantio_21-09-24_colheita_21-12-24.kml,2024-09-21,FEIJÃO,MILHO,54.5,MILHO,True,False,54.5,5.9,10.1
MILHO_518556764-1_plantio_10-11-24_colheita_20-05-25.kml,2024-11-10,MILHO,SOJA,55.5,SOJA,True,False,55.5,30.7,10.0
FEIJÃO_519504920-1_plantio_01-03-25_colheita_20-05-25.kml,2025-03-01,FEIJÃO,FEIJÃO,78.7,FEIJÃO,True,True,78.7,78.7,10.0
MILHO_519453903-1_plantio_31-01-25_colheita_21-05-25.kml,2025-01-31,MILHO,MILHO,45.5,MILHO,True,True,45.5,45.5,10.1
FEIJÃO_518134799-1_plantio_05-10-24_colheita_03-01-25.kml,2024-10-05,FEIJÃO,SOJA,84.3,SOJA,True,False,84.3,10.0,10.1
SOJA_518611903-1_plantio_01-10-24_colheita_01-01-25.kml,2024-10-01,SOJA,SOJA,47.9,SOJA,True,True,47.9,47.9,10.1
MILHO_518263107-1_plantio_10-08-24_colheita_10-12-24.kml,2024-08-10,MILHO,MILHO,70.3,MILHO,True,True,70.3,70.3,10.1
AVEIA_520026528-1_plantio_06-06-25_colheita_13-11-25.kml,2025-06-06,AVEIA,AVEIA,95.9,AVEIA,True,True,95.9,95.9,10.0
MILHO_517333241-1_plantio_20-04-24_colheita_01-10-24.kml,2024-04-20,MILHO,MILHO,84.5,MILHO,True,True,84.5,84.5,10.1
SOJA_518667011-1_plantio_05-11-24_colheita_20-04-25.kml,2024-11-05,SOJA,SOJA,92.6,SOJA,True,True,92.6,92.6,10.1
TRIGO_520156367-1_plantio_15-06-25_colheita_25-10-25.kml,2025-06-15,TRIGO,TRIGO,87.2,TRIGO,True,True,87.2,87.2,10.1
AVEIA_520188869-1_plantio_01-07-25_colheita_18-11-25.kml,2025-07-01,AVEIA,FEIJÃO,35.0,FEIJÃO,True,False,35.0,26.0,10.1
MILHO_519714051-1_plantio_15-02-25_colheita_15-08-25.kml,2025-02-15,MILHO,MILHO,70.5,MILHO,True,True,70.5,70.5,10.0
AVEIA_517687248-1_plantio_15-06-24_colheita_15-10-24.kml,2024-06-15,AVEIA,AVEIA,88.9,AVEIA,True,True,88.9,88.9,10.1
AVEIA_517507702-1_plantio_21-05-24_colheita_01-09-24.kml,2024-05-21,AVEIA,AVEIA,93.6,AVEIA,True,True,93.6,93.6,10.1
MILHO_518415949-1_plantio_01-09-24_colheita_15-01-25.kml,2024-09-01,MILHO,MILHO,76.4,MILHO,True,True,76.4,76.4,10.1
AVEIA_520079166-1_plantio_21-06-25_colheita_15-10-25.kml,2025-06-21,AVEIA,AVEIA,84.8,AVEIA,True,True,84.8,84.8,10.1
FEIJÃO_519352050-1_plantio_16-01-25_colheita_10-04-25.kml,2025-01-16,FEIJÃO,MILHO,60.7,MILHO,True,False,60.7,26.9,10.0
FEIJÃO_519383361-1_plantio_20-02-25_colheita_10-06-25.kml,2025-02-20,FEIJÃO,MILHO,76.5,MILHO,True,False,76.5,15.5,10.1
SOJA_518532774-2_plantio_11-09-24_colheita_31-01-25.kml,2024-09-11,SOJA,SOJA,90.4,SOJA,True,True,90.4,90.4,10.1
TRIGO_518223893-1_plantio_10-06-24_colheita_03-10-24.kml,2024-06-10,TRIGO,TRIGO,93.5,TRIGO,True,True,93.5,93.5,10.1
FEIJÃO_518716917-1_plantio_16-12-24_colheita_17-01-25.kml,2024-12-16,FEIJÃO,SOJA,38.4,SOJA,True,False,38.4,27.4,10.1
TRIGO_517582804-1_plantio_10-06-24_colheita_20-10-24.kml,2024-06-10,TRIGO,TRIGO,92.5,TRIGO,True,True,92.5,92.5,10.1
TRIGO_519852143-1_plantio_01-06-25_colheita_10-10-25.kml,2025-06-01,TRIGO,TRIGO,94.0,TRIGO,True,True,94.0,94.0,10.1
FEIJÃO_517454820-1_plantio_01-03-24_colheita_01-05-24.kml,2024-03-01,FEIJÃO,FEIJÃO,86.7,FEIJÃO,True,True,86.7,86.7,10.1
AVEIA_519623537-1_plantio_05-06-25_colheita_05-10-25.kml,2025-06-05,AVEIA,AVEIA,91.0,AVEIA,True,True,91.0,91.0,10.1
FEIJÃO_517397764-1_plantio_26-01-24_colheita_17-05-24.kml,2024-01-26,FEIJÃO,FEIJÃO,40.0,FEIJÃO,True,True,40.0,40.0,10.0
TRIGO_519669644-1_plantio_25-05-25_colheita_30-09-25.kml,2025-05-25,TRIGO,TRIGO,92.0,TRIGO,True,True,92.0,92.0,10.1
AVEIA_517518286-1_plantio_01-06-24_colheita_21-10-24.kml,2024-06-01,AVEIA,TRIGO,92.5,TRIGO,True,False,92.5,2.1,10.1
MILHO_518189700-1_plantio_15-09-24_colheita_03-01-25.kml,2024-09-15,MILHO,FEIJÃO,62.0,FEIJÃO,True,False,62.0,21.9,10.1
FEIJÃO_517260136-1_plantio_25-02-24_colheita_25-05-24.kml,2024-02-25,FEIJÃO,FEIJÃO,84.2,FEIJÃO,True,True,84.2,84.2,10.1
SOJA_518433776-1_plantio_15-12-24_colheita_10-05-25.kml,2024-12-15,SOJA,SOJA,45.1,SOJA,True,True,45.1,45.1,10.1
MILHO_520145510-1_plantio_15-06-25_colheita_15-11-25.kml,2025-06-15,MILHO,TRIGO,42.2,TRIGO,True,False,42.2,39.5,10.1
FEIJÃO_517358654-1_plantio_20-02-24_colheita_20-05-24.kml,2024-02-20,FEIJÃO,FEIJÃO,94.3,FEIJÃO,True,True,94.3,94.3,10.1
AVEIA_517738485-1_plantio_01-06-24_colheita_01-10-24.kml,2024-06-01,AVEIA,AVEIA,92.8,AVEIA,True,True,92.8,92.8,10.1
MILHO_518954465-1_plantio_01-11-24_colheita_01-03-25.kml,2024-11-01,MILHO,FEIJÃO,43.7,FEIJÃO,True,False,43.7,35.7,10.1
SOJA_519066557-1_plantio_25-11-24_colheita_01-04-25.kml,2024-11-25,SOJA,SOJA,59.9,SOJA,True,True,59.9,59.9,10.1
MILHO_517564036-1_plantio_30-04-24_colheita_01-11-24.kml,2024-04-30,MILHO,MILHO,89.7,MILHO,True,True,89.7,89.7,10.1
AVEIA_517523244-1_plantio_01-06-24_colheita_25-10-24.kml,2024-06-01,AVEIA,AVEIA,94.6,AVEIA,True,True,94.6,94.6,10.1
TRIGO_517564953-1_plantio_01-06-24_colheita_29-08-24.kml,2024-06-01,TRIGO,TRIGO,91.4,TRIGO,True,True,91.4,91.4,10.1
TRIGO_519746520-1_plantio_10-06-25_colheita_31-10-25.kml,2025-06-10,TRIGO,TRIGO,92.9,TRIGO,True,True,92.9,92.9,10.1
TRIGO_517488303-1_plantio_01-06-24_colheita_01-10-24.kml,2024-06-01,TRIGO,TRIGO,93.6,TRIGO,True,True,93.6,93.6,10.1
SOJA_518273562-1_plantio_18-11-24_colheita_20-03-25.kml,2024-11-18,SOJA,SOJA,83.8,SOJA,True,True,83.8,83.8,10.0
SOJA_520060411-1_plantio_01-10-25_colheita_10-02-26.kml,2025-10-01,SOJA,SOJA,54.5,SOJA,True,True,54.5,54.5,10.1
FEIJÃO_517380257-1_plantio_15-02-24_colheita_30-05-24.kml,2024-02-15,FEIJÃO,MILHO,50.8,MILHO,True,False,50.8,39.8,10.1
TRIGO_517702724-1_plantio_01-05-24_colheita_01-09-24.kml,2024-05-01,TRIGO,TRIGO,93.0,TRIGO,True,True,93.0,93.0,10.1
TRIGO_517916685-1_plantio_01-06-24_colheita_20-10-24.kml,2024-06-01,TRIGO,TRIGO,94.1,TRIGO,True,True,94.1,94.1,10.1
FEIJÃO_518273753-1_plantio_01-09-24_colheita_20-12-24.kml,2024-09-01,FEIJÃO,FEIJÃO,95.1,FEIJÃO,True,True,95.1,95.1,10.1
AVEIA_517410988-1_plantio_01-06-24_colheita_01-10-24.kml,2024-06-01,AVEIA,AVEIA,90.5,AVEIA,True,True,90.5,90.5,10.1
FEIJÃO_518338403-1_plantio_10-09-24_colheita_20-12-24.kml,2024-09-10,FEIJÃO,MILHO,48.2,MILHO,True,False,48.2,30.1,10.0
MILHO_519941299-1_plantio_15-09-25_colheita_23-01-26.kml,2025-09-15,MILHO,FEIJÃO,50.9,FEIJÃO,True,False,50.9,24.7,10.1
FEIJÃO_519168980-1_plantio_05-02-25_colheita_05-05-25.kml,2025-02-05,FEIJÃO,MILHO,76.1,MILHO,True,False,76.1,13.3,10.1
TRIGO_520001156-1_plantio_01-06-25_colheita_19-10-25.kml,2025-06-01,TRIGO,TRIGO,92.7,TRIGO,True,True,92.7,92.7,10.0
FEIJÃO_518787313-1_plantio_15-02-25_colheita_15-05-25.kml,2025-02-15,FEIJÃO,FEIJÃO,60.0,FEIJÃO,True,True,60.0,60.0,10.1
SOJA_518083992-1_plantio_01-10-24_colheita_07-02-25.kml,2024-10-01,SOJA,SOJA,60.6,SOJA,True,True,60.6,60.6,10.1
AVEIA_519786406-1_plantio_21-06-25_colheita_15-10-25.kml,2025-06-21,AVEIA,AVEIA,94.4,AVEIA,True,True,94.4,94.4,10.0
TRIGO_519542607-1_plantio_01-06-25_colheita_10-11-25.kml,2025-06-01,TRIGO,TRIGO,92.1,TRIGO,True,True,92.1,92.1,10.1
TRIGO_517898150-1_plantio_15-06-24_colheita_08-10-24.kml,2024-06-15,TRIGO,TRIGO,93.7,TRIGO,True,True,93.7,93.7,10.1
FEIJÃO_518618944-1_plantio_01-09-24_colheita_20-12-24.kml,2024-09-01,FEIJÃO,FEIJÃO,48.3,FEIJÃO,True,True,48.3,48.3,10.1
SOJA_518455961-1_plantio_11-11-24_colheita_01-05-25.kml,2024-11-11,SOJA,SOJA,74.7,SOJA,True,True,74.7,74.7,10.1
MILHO_518157122-1_plantio_15-09-24_colheita_03-01-25.kml,2024-09-15,MILHO,FEIJÃO,68.3,FEIJÃO,True,False,68.3,17.0,10.1
FEIJÃO_520192797-1_plantio_01-09-25_colheita_20-11-25.kml,2025-09-01,FEIJÃO,SOJA,83.4,SOJA,True,False,83.4,9.9,10.1
AVEIA_519645158-1_plantio_10-06-25_colheita_04-11-25.kml,2025-06-10,AVEIA,AVEIA,95.2,AVEIA,True,True,95.2,95.2,10.1
MILHO_518569016-1_plantio_28-08-24_colheita_01-01-25.kml,2024-08-28,MILHO,MILHO,83.2,MILHO,True,True,83.2,83.2,10.1
MILHO_518324189-1_plantio_15-09-24_colheita_21-03-25.kml,2024-09-15,MILHO,FEIJÃO,64.3,FEIJÃO,True,False,64.3,21.9,10.1
MILHO_519832260-1_plantio_20-04-25_colheita_20-12-25.kml,2025-04-20,MILHO,MILHO,89.0,MILHO,True,True,89.0,89.0,10.1
SOJA_520005828-1_plantio_21-09-25_colheita_14-01-26.kml,2025-09-21,SOJA,SOJA,49.8,SOJA,True,True,49.8,49.8,10.1
AVEIA_517409103-1_plantio_03-06-24_colheita_15-10-24.kml,2024-06-03,AVEIA,AVEIA,93.7,AVEIA,True,True,93.7,93.7,10.0
TRIGO_517955643-1_plantio_01-06-24_colheita_10-10-24.kml,2024-06-01,TRIGO,TRIGO,93.6,TRIGO,True,True,93.6,93.6,10.1
TRIGO_517743572-1_plantio_23-04-24_colheita_01-09-24.kml,2024-04-23,TRIGO,TRIGO,72.4,TRIGO,True,True,72.4,72.4,10.1
AVEIA_520025243-1_plantio_02-06-25_colheita_15-10-25.kml,2025-06-02,AVEIA,AVEIA,93.1,AVEIA,True,True,93.1,93.1,10.1
SOJA_518748685-1_plantio_11-10-24_colheita_20-02-25.kml,2024-10-11,SOJA,SOJA,92.0,SOJA,True,True,92.0,92.0,10.0
SOJA_518838740-1_plantio_01-11-24_colheita_02-03-25.kml,2024-11-01,SOJA,SOJA,85.6,SOJA,True,True,85.6,85.6,10.1
SOJA_518366576-1_plantio_15-10-24_colheita_15-02-25.kml,2024-10-15,SOJA,SOJA,65.5,SOJA,True,True,65.5,65.5,10.1
AVEIA_519830052-1_plantio_12-05-25_colheita_29-09-25.kml,2025-05-12,AVEIA,MILHO,27.9,MILHO,True,False,27.9,26.9,10.1
MILHO_518606329-1_plantio_10-09-24_colheita_14-03-25.kml,2024-09-10,MILHO,SOJA,80.7,SOJA,True,False,80.7,4.6,10.1
SOJA_518461217-1_plantio_01-11-24_colheita_20-03-25.kml,2024-11-01,SOJA,SOJA,88.3,SOJA,True,True,88.3,88.3,10.1
AVEIA_517561431-1_plantio_15-06-24_colheita_15-11-24.kml,2024-06-15,AVEIA,AVEIA,92.8,AVEIA,True,True,92.8,92.8,10.1
FEIJÃO_519311137-1_plantio_01-03-25_colheita_20-05-25.kml,2025-03-01,FEIJÃO,FEIJÃO,68.4,FEIJÃO,True,True,68.4,68.4,10.1
SOJA_518393503-1_plantio_01-10-24_colheita_08-02-25.kml,2024-10-01,SOJA,SOJA,76.5,SOJA,True,True,76.5,76.5,10.1
TRIGO_519589046-1_plantio_01-06-25_colheita_30-09-25.kml,2025-06-01,TRIGO,TRIGO,90.1,TRIGO,True,True,90.1,90.1,10.1
SOJA_518667850-2_plantio_01-11-24_colheita_01-04-25.kml,2024-11-01,SOJA,SOJA,90.5,SOJA,True,True,90.5,90.5,10.1
FEIJÃO_518516796-1_plantio_11-10-24_colheita_11-01-25.kml,2024-10-11,FEIJÃO,SOJA,90.3,SOJA,True,False,90.3,5.1,10.1
AVEIA_518023991-1_plantio_25-05-24_colheita_10-10-24.kml,2024-05-25,AVEIA,AVEIA,88.2,AVEIA,True,True,88.2,88.2,10.1
TRIGO_517917448-1_plantio_01-06-24_colheita_14-10-24.kml,2024-06-01,TRIGO,TRIGO,93.7,TRIGO,True,True,93.7,93.7,10.1
MILHO_518234097-1_plantio_10-09-24_colheita_01-03-25.kml,2024-09-10,MILHO,MILHO,69.5,MILHO,True,True,69.5,69.5,10.1
TRIGO_517928342-1_plantio_20-06-24_colheita_20-11-24.kml,2024-06-20,TRIGO,TRIGO,93.0,TRIGO,True,True,93.0,93.0,10.0
FEIJÃO_518495655-1_plantio_01-09-24_colheita_01-12-24.kml,2024-09-01,FEIJÃO,SOJA,89.3,SOJA,True,False,89.3,3.8,10.1
TRIGO_517531484-1_plantio_25-05-24_colheita_01-10-24.kml,2024-05-25,TRIGO,TRIGO,93.6,TRIGO,True,True,93.6,93.6,10.1
TRIGO_518028031-1_plantio_06-06-24_colheita_04-10-24.kml,2024-06-06,TRIGO,TRIGO,89.7,TRIGO,True,True,89.7,89.7,10.1
SOJA_518746912-1_plantio_10-11-24_colheita_20-03-25.kml,2024-11-10,SOJA,SOJA,93.0,SOJA,True,True,93.0,93.0,10.1
SOJA_518370615-1_plantio_20-10-24_colheita_10-03-25.kml,2024-10-20,SOJA,SOJA,74.4,SOJA,True,True,74.4,74.4,10.1
SOJA_518253713-1_plantio_15-10-24_colheita_25-01-25.kml,2024-10-15,SOJA,SOJA,66.4,SOJA,True,True,66.4,66.4,10.1
AVEIA_519411082-1_plantio_10-06-25_colheita_10-10-25.kml,2025-06-10,AVEIA,AVEIA,92.3,AVEIA,True,True,92.3,92.3,10.1
MILHO_517497401-1_plantio_01-03-24_colheita_01-07-24.kml,2024-03-01,MILHO,FEIJÃO,67.8,FEIJÃO,True,False,67.8,24.7,10.1
TRIGO_519965679-1_plantio_01-06-25_colheita_19-10-25.kml,2025-06-01,TRIGO,TRIGO,93.8,TRIGO,True,True,93.8,93.8,10.1
FEIJÃO_518501098-1_plantio_05-09-24_colheita_05-12-24.kml,2024-09-05,FEIJÃO,MILHO,45.4,MILHO,True,False,45.4,21.5,10.1
SOJA_520153593-1_plantio_05-10-25_colheita_20-02-26.kml,2025-10-05,SOJA,SOJA,75.7,SOJA,True,True,75.7,75.7,10.1
FEIJÃO_517298377-1_plantio_15-01-24_colheita_01-05-24.kml,2024-01-15,FEIJÃO,FEIJÃO,71.1,FEIJÃO,True,True,71.1,71.1,10.1
FEIJÃO_517453249-1_plantio_20-02-24_colheita_15-05-24.kml,2024-02-20,FEIJÃO,FEIJÃO,76.2,FEIJÃO,True,True,76.2,76.2,10.1
TRIGO_517681375-1_plantio_01-06-24_colheita_07-10-24.kml,2024-06-01,TRIGO,TRIGO,88.5,TRIGO,True,True,88.5,88.5,10.1
AVEIA_518023681-1_plantio_10-06-24_colheita_28-10-24.kml,2024-06-10,AVEIA,AVEIA,93.9,AVEIA,True,True,93.9,93.9,10.1
MILHO_518579638-1_plantio_21-09-24_colheita_31-01-25.kml,2024-09-21,MILHO,MILHO,60.3,MILHO,True,True,60.3,60.3,10.1
TRIGO_520032345-1_plantio_05-06-25_colheita_15-10-25.kml,2025-06-05,TRIGO,TRIGO,92.9,TRIGO,True,True,92.9,92.9,10.1
TRIGO_517956171-1_plantio_20-06-24_colheita_20-10-24.kml,2024-06-20,TRIGO,TRIGO,93.5,TRIGO,True,True,93.5,93.5,10.1
FEIJÃO_517380660-1_plantio_27-02-24_colheita_20-05-24.kml,2024-02-27,FEIJÃO,MILHO,56.2,MILHO,True,False,56.2,34.5,10.1
MILHO_518323065-1_plantio_05-09-24_colheita_01-02-25.kml,2024-09-05,MILHO,MILHO,74.7,MILHO,True,True,74.7,74.7,10.1
AVEIA_519753287-1_plantio_01-06-25_colheita_20-10-25.kml,2025-06-01,AVEIA,AVEIA,90.5,AVEIA,True,True,90.5,90.5,10.1
SOJA_520037124-1_plantio_15-11-25_colheita_15-03-26.kml,2025-11-15,SOJA,SOJA,93.7,SOJA,True,True,93.7,93.7,10.1
FEIJÃO_517527189-1_plantio_17-02-24_colheita_01-05-24.kml,2024-02-17,FEIJÃO,FEIJÃO,75.3,FEIJÃO,True,True,75.3,75.3,10.1
SOJA_520268029-1_plantio_01-10-25_colheita_01-04-26.kml,2025-10-01,SOJA,SOJA,50.6,SOJA,True,True,50.6,50.6,10.1
MILHO_519765474-1_plantio_20-04-25_colheita_01-12-25.kml,2025-04-20,MILHO,MILHO,88.1,MILHO,True,True,88.1,88.1,10.1
AVEIA_517681337-1_plantio_30-04-24_colheita_02-09-24.kml,2024-04-30,AVEIA,AVEIA,73.0,AVEIA,True,True,73.0,73.0,10.1
MILHO_520192176-1_plantio_21-08-25_colheita_01-01-26.kml,2025-08-21,MILHO,MILHO,76.4,MILHO,True,True,76.4,76.4,10.1
MILHO_518425132-1_plantio_10-10-24_colheita_10-03-25.kml,2024-10-10,MILHO,SOJA,48.8,SOJA,True,False,48.8,26.3,10.1
TRIGO_517467988-1_plantio_01-06-24_colheita_09-10-24.kml,2024-06-01,TRIGO,TRIGO,94.3,TRIGO,True,True,94.3,94.3,10.1
AVEIA_517398636-1_plantio_11-06-24_colheita_05-10-24.kml,2024-06-11,AVEIA,AVEIA,92.9,AVEIA,True,True,92.9,92.9,10.0
AVEIA_518128083-1_plantio_17-06-24_colheita_15-10-24.kml,2024-06-17,AVEIA,AVEIA,92.8,AVEIA,True,True,92.8,92.8,10.1
TRIGO_517599688-1_plantio_30-05-24_colheita_07-10-24.kml,2024-05-30,TRIGO,TRIGO,92.6,TRIGO,True,True,92.6,92.6,10.1
MILHO_517454027-1_plantio_17-02-24_colheita_28-05-24.kml,2024-02-17,MILHO,MILHO,59.3,MILHO,True,True,59.3,59.3,10.1
TRIGO_518095870-1_plantio_16-05-24_colheita_01-10-24.kml,2024-05-16,TRIGO,TRIGO,92.3,TRIGO,True,True,92.3,92.3,10.1
