kml,data,true,claim,mesmo_dap,pred,confianca,prob_true,prob_claim,acerto_real,seguiu_mentira,tempo_seg
AVEIA_517677037-1_plantio_21-05-24_colheita_05-10-24.kml,2024-05-21,AVEIA,MILHO,False,MILHO,76.4,7.7,76.4,False,True,12.2
AVEIA_520026528-1_plantio_06-06-25_colheita_13-11-25.kml,2025-06-06,AVEIA,FEIJÃO,False,MILHO,84.2,4.5,3.5,False,False,12.4
AVEIA_519528190-1_plantio_21-05-25_colheita_01-10-25.kml,2025-05-21,AVEIA,FEIJÃO,False,MILHO,92.1,1.8,2.2,False,False,12.2
FEIJÃO_519504920-1_plantio_01-03-25_colheita_20-05-25.kml,2025-03-01,FEIJÃO,TRIGO,False,MILHO,57.2,36.5,2.1,False,False,13.0
SOJA_518405568-1_plantio_20-11-24_colheita_15-04-25.kml,2024-11-20,SOJA,AVEIA,False,MILHO,43.8,35.9,2.7,False,False,11.8
MILHO_518606329-1_plantio_10-09-24_colheita_14-03-25.kml,2024-09-10,MILHO,AVEIA,False,FEIJÃO,81.7,2.8,3.5,False,False,11.8
MILHO_518265593-1_plantio_15-08-24_colheita_03-12-24.kml,2024-08-15,MILHO,SOJA,True,MILHO,62.1,62.1,2.6,True,False,22.4
SOJA_518181955-1_plantio_20-10-24_colheita_15-02-25.kml,2024-10-20,SOJA,FEIJÃO,True,FEIJÃO,53.2,30.1,53.2,False,True,22.6
AVEIA_520025243-1_plantio_02-06-25_colheita_15-10-25.kml,2025-06-02,AVEIA,TRIGO,False,TRIGO,93.5,1.7,93.5,False,True,22.6
AVEIA_517529258-1_plantio_21-05-24_colheita_20-09-24.kml,2024-05-21,AVEIA,AVEIA,True,AVEIA,90.8,90.8,90.8,True,False,12.4
TRIGO_517745821-1_plantio_01-06-24_colheita_10-11-24.kml,2024-06-01,TRIGO,MILHO,False,AVEIA,44.5,10.2,34.8,False,False,12.1
MILHO_517667038-1_plantio_28-02-24_colheita_16-06-24.kml,2024-02-28,MILHO,TRIGO,False,FEIJÃO,85.8,9.5,1.6,False,False,22.7
FEIJÃO_518990419-1_plantio_10-11-24_colheita_20-03-25.kml,2024-11-10,FEIJÃO,FEIJÃO,True,SOJA,84.3,4.1,4.1,False,False,22.7
FEIJÃO_519420878-1_plantio_01-02-25_colheita_10-05-25.kml,2025-02-01,FEIJÃO,AVEIA,False,MILHO,88.8,5.9,2.0,False,False,22.4
TRIGO_519843114-1_plantio_21-04-25_colheita_15-09-25.kml,2025-04-21,TRIGO,SOJA,False,MILHO,94.8,1.5,1.1,False,False,12.1
SOJA_518941634-1_plantio_07-11-24_colheita_30-04-25.kml,2024-11-07,SOJA,AVEIA,False,SOJA,84.4,84.4,1.8,True,False,12.3
SOJA_518018727-1_plantio_25-10-24_colheita_02-02-25.kml,2024-10-25,SOJA,MILHO,True,MILHO,58.2,26.1,58.2,False,True,12.5
FEIJÃO_519311137-1_plantio_01-03-25_colheita_20-05-25.kml,2025-03-01,FEIJÃO,AVEIA,False,FEIJÃO,87.5,87.5,3.6,True,False,12.4
AVEIA_517398636-1_plantio_11-06-24_colheita_05-10-24.kml,2024-06-11,AVEIA,TRIGO,False,TRIGO,93.6,1.6,93.6,False,True,13.0
AVEIA_519830052-1_plantio_12-05-25_colheita_29-09-25.kml,2025-05-12,AVEIA,TRIGO,False,TRIGO,74.1,2.7,74.1,False,True,12.3
AVEIA_517703021-1_plantio_21-05-24_colheita_29-08-24.kml,2024-05-21,AVEIA,SOJA,False,MILHO,75.1,7.4,3.2,False,False,12.3
MILHO_517884613-1_plantio_01-05-24_colheita_01-11-24.kml,2024-05-01,MILHO,SOJA,True,MILHO,95.1,95.1,1.7,True,False,11.9
AVEIA_517703021-1_plantio_21-05-24_colheita_29-08-24.kml,2024-05-21,AVEIA,TRIGO,False,TRIGO,92.6,1.7,92.6,False,True,24.7
MILHO_518415949-1_plantio_01-09-24_colheita_15-01-25.kml,2024-09-01,MILHO,SOJA,True,FEIJÃO,76.3,4.6,15.5,False,False,24.7
MILHO_520325000-1_plantio_01-09-25_colheita_01-03-26.kml,2025-09-01,MILHO,MILHO,True,SOJA,81.7,4.4,4.4,False,False,16.3
MILHO_518556125-1_plantio_11-03-25_colheita_20-07-25.kml,2025-03-11,MILHO,MILHO,True,MILHO,90.7,90.7,90.7,True,False,14.9
SOJA_518611903-1_plantio_01-10-24_colheita_01-01-25.kml,2024-10-01,SOJA,AVEIA,False,SOJA,93.3,93.3,1.6,True,False,15.3
MILHO_518556125-1_plantio_11-03-25_colheita_20-07-25.kml,2025-03-11,MILHO,SOJA,True,MILHO,90.7,90.7,1.3,True,False,12.1
MILHO_517884613-1_plantio_01-05-24_colheita_01-11-24.kml,2024-05-01,MILHO,MILHO,True,MILHO,95.1,95.1,95.1,True,False,12.0
TRIGO_517610671-1_plantio_20-06-24_colheita_25-10-24.kml,2024-06-20,TRIGO,TRIGO,True,TRIGO,92.3,92.3,92.3,True,False,13.5
SOJA_518145934-1_plantio_01-10-24_colheita_25-02-25.kml,2024-10-01,SOJA,SOJA,True,SOJA,59.2,59.2,59.2,True,False,13.8
SOJA_518320578-1_plantio_15-11-24_colheita_30-03-25.kml,2024-11-15,SOJA,FEIJÃO,True,SOJA,88.0,88.0,3.7,True,False,13.4
AVEIA_517507702-1_plantio_21-05-24_colheita_01-09-24.kml,2024-05-21,AVEIA,FEIJÃO,False,MILHO,83.4,5.1,3.0,False,False,13.4
SOJA_519937980-1_plantio_01-10-25_colheita_01-02-26.kml,2025-10-01,SOJA,MILHO,True,SOJA,65.5,65.5,9.1,True,False,13.8
SOJA_520351254-1_plantio_15-12-25_colheita_15-03-26.kml,2025-12-15,SOJA,AVEIA,False,SOJA,43.2,43.2,8.8,True,False,12.2
FEIJÃO_517260136-1_plantio_25-02-24_colheita_25-05-24.kml,2024-02-25,FEIJÃO,MILHO,True,FEIJÃO,64.9,64.9,27.9,True,False,23.1
AVEIA_517409103-1_plantio_03-06-24_colheita_15-10-24.kml,2024-06-03,AVEIA,FEIJÃO,False,AVEIA,57.8,57.8,6.4,True,False,23.2
AVEIA_517677037-1_plantio_21-05-24_colheita_05-10-24.kml,2024-05-21,AVEIA,FEIJÃO,False,MILHO,45.2,32.8,6.4,False,False,23.2
TRIGO_517700161-1_plantio_28-05-24_colheita_13-10-24.kml,2024-05-28,TRIGO,AVEIA,False,AVEIA,92.1,1.9,92.1,False,True,23.2
MILHO_518265593-1_plantio_15-08-24_colheita_03-12-24.kml,2024-08-15,MILHO,TRIGO,False,MILHO,90.8,90.8,2.0,True,False,12.1
SOJA_520351254-1_plantio_15-12-25_colheita_15-03-26.kml,2025-12-15,SOJA,FEIJÃO,True,SOJA,45.0,45.0,26.9,True,False,12.9
MILHO_518553919-1_plantio_25-08-24_colheita_05-01-25.kml,2024-08-25,MILHO,MILHO,True,MILHO,85.3,85.3,85.3,True,False,12.6
SOJA_518941634-1_plantio_07-11-24_colheita_30-04-25.kml,2024-11-07,SOJA,TRIGO,False,SOJA,92.4,92.4,1.5,True,False,12.6
FEIJÃO_517454820-1_plantio_01-03-24_colheita_01-05-24.kml,2024-03-01,FEIJÃO,FEIJÃO,True,FEIJÃO,83.7,83.7,83.7,True,False,12.7
MILHO_519256275-1_plantio_15-01-25_colheita_15-06-25.kml,2025-01-15,MILHO,MILHO,True,FEIJÃO,47.4,31.6,31.6,False,False,11.8
MILHO_519003251-1_plantio_20-12-24_colheita_20-05-25.kml,2024-12-20,MILHO,AVEIA,False,MILHO,37.8,37.8,5.3,True,False,23.1
TRIGO_519444779-1_plantio_25-05-25_colheita_10-10-25.kml,2025-05-25,TRIGO,MILHO,False,MILHO,83.0,5.3,83.0,False,True,33.6
SOJA_518941634-1_plantio_07-11-24_colheita_30-04-25.kml,2024-11-07,SOJA,MILHO,True,SOJA,80.3,80.3,10.5,True,False,33.8
SOJA_518181955-1_plantio_20-10-24_colheita_15-02-25.kml,2024-10-20,SOJA,AVEIA,False,SOJA,61.4,61.4,6.2,True,False,34.1
TRIGO_519804719-1_plantio_15-06-25_colheita_25-10-25.kml,2025-06-15,TRIGO,TRIGO,True,TRIGO,89.6,89.6,89.6,True,False,33.9
FEIJÃO_518273753-1_plantio_01-09-24_colheita_20-12-24.kml,2024-09-01,FEIJÃO,TRIGO,False,FEIJÃO,94.0,94.0,1.6,True,False,12.4
TRIGO_519753187-1_plantio_11-06-25_colheita_01-11-25.kml,2025-06-11,TRIGO,AVEIA,False,AVEIA,92.3,1.8,92.3,False,True,23.2
AVEIA_519753287-1_plantio_01-06-25_colheita_20-10-25.kml,2025-06-01,AVEIA,MILHO,False,MILHO,76.5,12.3,76.5,False,True,23.2
MILHO_520218990-1_plantio_01-09-25_colheita_09-01-26.kml,2025-09-01,MILHO,MILHO,True,FEIJÃO,60.7,24.1,24.1,False,False,23.3
MILHO_517530396-1_plantio_15-06-24_colheita_15-10-24.kml,2024-06-15,MILHO,SOJA,True,AVEIA,55.1,26.4,4.2,False,False,22.7
SOJA_520207240-1_plantio_25-10-25_colheita_05-02-26.kml,2025-10-25,SOJA,AVEIA,False,SOJA,62.7,62.7,2.7,True,False,34.6
MILHO_518265593-1_plantio_15-08-24_colheita_03-12-24.kml,2024-08-15,MILHO,AVEIA,False,MILHO,80.8,80.8,2.2,True,False,12.5
AVEIA_517687248-1_plantio_15-06-24_colheita_15-10-24.kml,2024-06-15,AVEIA,SOJA,False,MILHO,66.5,14.4,3.3,False,False,12.6
MILHO_518606329-1_plantio_10-09-24_colheita_14-03-25.kml,2024-09-10,MILHO,FEIJÃO,True,MILHO,50.9,50.9,30.7,True,False,12.6
MILHO_517497401-1_plantio_01-03-24_colheita_01-07-24.kml,2024-03-01,MILHO,SOJA,True,MILHO,61.1,61.1,1.7,True,False,13.2
AVEIA_517523244-1_plantio_01-06-24_colheita_25-10-24.kml,2024-06-01,AVEIA,SOJA,False,MILHO,93.3,1.7,1.4,False,False,12.8
SOJA_518018727-1_plantio_25-10-24_colheita_02-02-25.kml,2024-10-25,SOJA,SOJA,True,MILHO,58.2,26.1,26.1,False,False,12.4
MILHO_518400022-1_plantio_20-11-24_colheita_10-03-25.kml,2024-11-20,MILHO,TRIGO,False,SOJA,78.3,12.1,3.3,False,False,12.2
FEIJÃO_518273753-1_plantio_01-09-24_colheita_20-12-24.kml,2024-09-01,FEIJÃO,MILHO,True,FEIJÃO,43.0,43.0,30.1,True,False,12.2
SOJA_518581117-1_plantio_11-10-24_colheita_01-02-25.kml,2024-10-11,SOJA,FEIJÃO,True,SOJA,39.3,39.3,22.6,True,False,12.7
TRIGO_517700161-1_plantio_28-05-24_colheita_13-10-24.kml,2024-05-28,TRIGO,SOJA,False,MILHO,92.1,2.5,1.5,False,False,12.5
SOJA_518393503-1_plantio_01-10-24_colheita_08-02-25.kml,2024-10-01,SOJA,TRIGO,False,SOJA,69.2,69.2,2.4,True,False,12.3
SOJA_520351254-1_plantio_15-12-25_colheita_15-03-26.kml,2025-12-15,SOJA,SOJA,True,MILHO,43.7,32.2,32.2,False,False,27.3
TRIGO_517674776-1_plantio_20-05-24_colheita_15-10-24.kml,2024-05-20,TRIGO,MILHO,False,MILHO,79.9,6.3,79.9,False,True,12.5
SOJA_518393503-1_plantio_01-10-24_colheita_08-02-25.kml,2024-10-01,SOJA,AVEIA,False,SOJA,72.7,72.7,4.2,True,False,12.6
TRIGO_519753187-1_plantio_11-06-25_colheita_01-11-25.kml,2025-06-11,TRIGO,SOJA,False,MILHO,53.4,17.4,6.3,False,False,12.3
MILHO_519256275-1_plantio_15-01-25_colheita_15-06-25.kml,2025-01-15,MILHO,FEIJÃO,True,MILHO,58.1,58.1,23.3,True,False,12.4
MILHO_518599043-1_plantio_12-11-24_colheita_10-02-25.kml,2024-11-12,MILHO,FEIJÃO,True,SOJA,83.1,6.8,6.5,False,False,12.5
MILHO_520325000-1_plantio_01-09-25_colheita_01-03-26.kml,2025-09-01,MILHO,FEIJÃO,True,FEIJÃO,66.4,17.4,66.4,False,True,13.3
MILHO_517667038-1_plantio_28-02-24_colheita_16-06-24.kml,2024-02-28,MILHO,SOJA,True,FEIJÃO,87.7,7.3,1.7,False,False,23.6
AVEIA_517687248-1_plantio_15-06-24_colheita_15-10-24.kml,2024-06-15,AVEIA,TRIGO,False,TRIGO,93.2,1.8,93.2,False,True,23.1
FEIJÃO_518990419-1_plantio_10-11-24_colheita_20-03-25.kml,2024-11-10,FEIJÃO,MILHO,True,MILHO,57.8,10.8,57.8,False,True,23.4
AVEIA_517687248-1_plantio_15-06-24_colheita_15-10-24.kml,2024-06-15,AVEIA,MILHO,False,MILHO,66.5,14.4,66.5,False,True,22.8
AVEIA_517398636-1_plantio_11-06-24_colheita_05-10-24.kml,2024-06-11,AVEIA,MILHO,False,MILHO,50.5,7.6,50.5,False,True,12.0
MILHO_518553919-1_plantio_25-08-24_colheita_05-01-25.kml,2024-08-25,MILHO,FEIJÃO,True,MILHO,93.4,93.4,3.1,True,False,12.7
MILHO_519256275-1_plantio_15-01-25_colheita_15-06-25.kml,2025-01-15,MILHO,SOJA,True,MILHO,50.5,50.5,16.0,True,False,12.8
SOJA_518502038-1_plantio_25-09-24_colheita_19-01-25.kml,2024-09-25,SOJA,SOJA,True,MILHO,75.5,15.7,15.7,False,False,12.8
SOJA_518393503-1_plantio_01-10-24_colheita_08-02-25.kml,2024-10-01,SOJA,SOJA,True,SOJA,90.3,90.3,90.3,True,False,12.8
SOJA_518500033-1_plantio_10-12-24_colheita_15-04-25.kml,2024-12-10,SOJA,SOJA,True,MILHO,56.4,24.6,24.6,False,False,12.0
AVEIA_520026528-1_plantio_06-06-25_colheita_13-11-25.kml,2025-06-06,AVEIA,SOJA,False,MILHO,44.4,29.5,4.8,False,False,23.4
MILHO_519709415-1_plantio_01-03-25_colheita_01-07-25.kml,2025-03-01,MILHO,TRIGO,False,FEIJÃO,80.5,14.4,1.9,False,False,33.7
AVEIA_517523244-1_plantio_01-06-24_colheita_25-10-24.kml,2024-06-01,AVEIA,TRIGO,False,TRIGO,89.3,2.0,89.3,False,True,34.2
MILHO_517530396-1_plantio_15-06-24_colheita_15-10-24.kml,2024-06-15,MILHO,FEIJÃO,True,MILHO,93.0,93.0,2.0,True,False,34.2
MILHO_518099154-1_plantio_05-09-24_colheita_03-01-25.kml,2024-09-05,MILHO,FEIJÃO,True,FEIJÃO,51.7,29.4,51.7,False,True,34.2
MILHO_518400022-1_plantio_20-11-24_colheita_10-03-25.kml,2024-11-20,MILHO,FEIJÃO,True,SOJA,59.3,28.3,7.6,False,False,12.5
FEIJÃO_518990419-1_plantio_10-11-24_colheita_20-03-25.kml,2024-11-10,FEIJÃO,SOJA,True,SOJA,82.3,3.6,82.3,False,True,12.1
MILHO_518556125-1_plantio_11-03-25_colheita_20-07-25.kml,2025-03-11,MILHO,FEIJÃO,True,MILHO,90.7,90.7,4.4,True,False,22.8
SOJA_518405568-1_plantio_20-11-24_colheita_15-04-25.kml,2024-11-20,SOJA,TRIGO,False,SOJA,90.5,90.5,3.2,True,False,22.8
AVEIA_520026528-1_plantio_06-06-25_colheita_13-11-25.kml,2025-06-06,AVEIA,TRIGO,False,TRIGO,92.0,2.0,92.0,False,True,22.8
TRIGO_517674776-1_plantio_20-05-24_colheita_15-10-24.kml,2024-05-20,TRIGO,TRIGO,True,TRIGO,92.3,92.3,92.3,True,False,12.4
FEIJÃO_518716917-1_plantio_16-12-24_colheita_17-01-25.kml,2024-12-16,FEIJÃO,AVEIA,False,SOJA,51.1,28.2,6.7,False,False,22.7
TRIGO_517506104-1_plantio_01-06-24_colheita_15-10-24.kml,2024-06-01,TRIGO,MILHO,False,AVEIA,62.4,11.0,13.8,False,False,15.7
TRIGO_519444779-1_plantio_25-05-25_colheita_10-10-25.kml,2025-05-25,TRIGO,SOJA,False,MILHO,82.9,4.6,2.0,False,False,18.1
MILHO_517540319-1_plantio_15-02-24_colheita_14-07-24.kml,2024-02-15,MILHO,AVEIA,False,MILHO,46.1,46.1,5.2,True,False,18.1
FEIJÃO_519514583-1_plantio_11-02-25_colheita_30-04-25.kml,2025-02-11,FEIJÃO,MILHO,True,FEIJÃO,84.9,84.9,10.2,True,False,16.4
AVEIA_517561431-1_plantio_15-06-24_colheita_15-11-24.kml,2024-06-15,AVEIA,FEIJÃO,False,MILHO,43.1,34.3,6.1,False,False,18.2
SOJA_518611903-1_plantio_01-10-24_colheita_01-01-25.kml,2024-10-01,SOJA,FEIJÃO,True,SOJA,65.8,65.8,24.2,True,False,13.6
MILHO_519709415-1_plantio_01-03-25_colheita_01-07-25.kml,2025-03-01,MILHO,SOJA,True,FEIJÃO,50.8,41.7,4.0,False,False,14.4
AVEIA_517561431-1_plantio_15-06-24_colheita_15-11-24.kml,2024-06-15,AVEIA,AVEIA,True,AVEIA,91.0,91.0,91.0,True,False,14.5
SOJA_518502038-1_plantio_25-09-24_colheita_19-01-25.kml,2024-09-25,SOJA,MILHO,True,MILHO,75.5,15.7,75.5,False,True,14.5
AVEIA_518023991-1_plantio_25-05-24_colheita_10-10-24.kml,2024-05-25,AVEIA,MILHO,False,MILHO,95.3,0.7,95.3,False,True,14.5
TRIGO_519917374-1_plantio_15-06-25_colheita_15-10-25.kml,2025-06-15,TRIGO,AVEIA,False,AVEIA,91.1,2.3,91.1,False,True,12.9
FEIJÃO_518990419-1_plantio_10-11-24_colheita_20-03-25.kml,2024-11-10,FEIJÃO,AVEIA,False,SOJA,91.8,3.4,2.0,False,False,22.8
TRIGO_517745821-1_plantio_01-06-24_colheita_10-11-24.kml,2024-06-01,TRIGO,FEIJÃO,False,AVEIA,55.9,23.5,6.9,False,False,23.1
AVEIA_519753287-1_plantio_01-06-25_colheita_20-10-25.kml,2025-06-01,AVEIA,SOJA,False,AVEIA,55.9,55.9,6.0,True,False,23.1
TRIGO_517907363-1_plantio_25-05-24_colheita_05-10-24.kml,2024-05-25,TRIGO,FEIJÃO,False,MILHO,91.0,2.9,2.3,False,False,23.1
SOJA_519172649-1_plantio_28-11-24_colheita_15-04-25.kml,2024-11-28,SOJA,FEIJÃO,True,MILHO,81.2,11.2,3.9,False,False,12.9
FEIJÃO_519352050-1_plantio_16-01-25_colheita_10-04-25.kml,2025-01-16,FEIJÃO,SOJA,True,MILHO,59.4,27.6,8.8,False,False,23.0
MILHO_517540319-1_plantio_15-02-24_colheita_14-07-24.kml,2024-02-15,MILHO,TRIGO,False,MILHO,91.8,91.8,1.6,True,False,38.8
AVEIA_517677037-1_plantio_21-05-24_colheita_05-10-24.kml,2024-05-21,AVEIA,SOJA,False,MILHO,84.2,6.6,2.6,False,False,37.7
SOJA_518741736-1_plantio_02-12-24_colheita_01-04-25.kml,2024-12-02,SOJA,AVEIA,False,SOJA,68.3,68.3,3.8,True,False,15.8
AVEIA_519830052-1_plantio_12-05-25_colheita_29-09-25.kml,2025-05-12,AVEIA,AVEIA,True,AVEIA,92.6,92.6,92.6,True,False,39.1
AVEIA_517518286-1_plantio_01-06-24_colheita_21-10-24.kml,2024-06-01,AVEIA,MILHO,False,MILHO,82.3,6.4,82.3,False,True,38.8
FEIJÃO_519352050-1_plantio_16-01-25_colheita_10-04-25.kml,2025-01-16,FEIJÃO,FEIJÃO,True,FEIJÃO,77.5,77.5,77.5,True,False,13.0
AVEIA_517410988-1_plantio_01-06-24_colheita_01-10-24.kml,2024-06-01,AVEIA,AVEIA,True,AVEIA,93.9,93.9,93.9,True,False,13.0
AVEIA_517507702-1_plantio_21-05-24_colheita_01-09-24.kml,2024-05-21,AVEIA,TRIGO,False,TRIGO,93.3,1.6,93.3,False,True,23.9
MILHO_518553919-1_plantio_25-08-24_colheita_05-01-25.kml,2024-08-25,MILHO,AVEIA,False,MILHO,72.4,72.4,2.7,True,False,23.9
TRIGO_519804719-1_plantio_15-06-25_colheita_25-10-25.kml,2025-06-15,TRIGO,SOJA,False,AVEIA,75.9,6.4,4.3,False,False,23.9
SOJA_518018727-1_plantio_25-10-24_colheita_02-02-25.kml,2024-10-25,SOJA,TRIGO,False,SOJA,84.0,84.0,1.8,True,False,12.4
FEIJÃO_518716917-1_plantio_16-12-24_colheita_17-01-25.kml,2024-12-16,FEIJÃO,TRIGO,False,MILHO,57.1,8.4,2.6,False,False,12.5
FEIJÃO_518273753-1_plantio_01-09-24_colheita_20-12-24.kml,2024-09-01,FEIJÃO,FEIJÃO,True,MILHO,84.7,7.2,7.2,False,False,24.2
FEIJÃO_518694761-1_plantio_25-09-24_colheita_19-12-24.kml,2024-09-25,FEIJÃO,AVEIA,False,AVEIA,40.9,17.3,40.9,False,True,35.1
TRIGO_519698009-1_plantio_21-05-25_colheita_20-09-25.kml,2025-05-21,TRIGO,MILHO,False,MILHO,46.2,10.0,46.2,False,True,35.1
SOJA_518145934-1_plantio_01-10-24_colheita_25-02-25.kml,2024-10-01,SOJA,MILHO,True,SOJA,59.2,59.2,15.0,True,False,34.8
SOJA_518405568-1_plantio_20-11-24_colheita_15-04-25.kml,2024-11-20,SOJA,SOJA,True,SOJA,89.9,89.9,89.9,True,False,34.8
MILHO_518099154-1_plantio_05-09-24_colheita_03-01-25.kml,2024-09-05,MILHO,MILHO,True,MILHO,79.1,79.1,79.1,True,False,12.5
MILHO_518400022-1_plantio_20-11-24_colheita_10-03-25.kml,2024-11-20,MILHO,MILHO,True,SOJA,62.0,19.6,19.6,False,False,12.7
TRIGO_519760737-1_plantio_20-06-25_colheita_20-10-25.kml,2025-06-20,TRIGO,AVEIA,False,AVEIA,92.6,1.8,92.6,False,True,12.7
TRIGO_517743795-1_plantio_20-05-24_colheita_27-09-24.kml,2024-05-20,TRIGO,FEIJÃO,False,MILHO,91.3,2.9,2.2,False,False,12.0
SOJA_518181955-1_plantio_20-10-24_colheita_15-02-25.kml,2024-10-20,SOJA,TRIGO,False,SOJA,75.3,75.3,1.9,True,False,12.0
SOJA_518181955-1_plantio_20-10-24_colheita_15-02-25.kml,2024-10-20,SOJA,MILHO,True,FEIJÃO,53.2,30.1,12.6,False,False,12.3
